keys,en
lorem_ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
loading_text,Loading
main_menu_play_btn,Play
delete_save_btn,Delete Save
main_menu_bugs_btn,Submit Issue
main_menu_discord_btn,Discord
result_screen,Result
result_text,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
btn_result_return,Main Menu
btn_result_retry,Retry
result_bugs_btn,Submit Issue
result_discord_btn,Discord
pause_menu_title,[center]Paused[/center]
pause_back_btn,Close
pause_retry_btn,Retry
pause_quit_btn,Main Menu
pause_bugs_btn,Submit Issue
pause_discord_btn,Discord
deck_selector_play_with_btn,Play with Selected
discard_btn,Discard
player_deck_btn,Draw 1 card for 1 [energy]
event_deck_btn,Draw next card when the active card is complete
btn_shuffle_deck,Shuffle
complete_card_btn,Complete
use_card_btn,Use
pay_card_btn,Pay
seed_rtl,Seed: 
received_card_popup_end, card received!
nothing_card_popup_msg,No rewards
open_pause_btn,Pause
result_title_failure,Failure
result_title_success,Success
save_file_delete,Save file Deleted
desert_caravan,A caravan of desert nomads
desert_caravan_text,"You encounter a caravan of native desert nomads. Although you cannot communicate with words, you understand they are willing to trade for some [cost]."
desert_cold_night,The cold deseet night
desert_cold_night_text,The nights in the desert are known to get cold. [cost] are needed to survive. 
desert_crash_site,An abandoned crash site
desert_crash_site_text,You encounter an old abandoned crash site. Seach the wreckage for anything to use with [cost].
desert_creature_encounter,A desert critter
desert_creature_encounter_text,A small critter lunges at you from behind a rock. Defend yourself with [cost].
desert_camp,Civilisation
desert_camp_text,You can see a large camp with vehicles in the distance. use [cost].
desert_empty_stretch,Empty stretch of desert
desert_empty_stretch_text,An infinite landscape of dunes extends in front of you. Use [cost] before your courage runs out.
desert_exit_crash,How did you get here?
